college_name,known_for_majors
Abraham Baldwin Agricultural College,Agribusiness;Agricultural Engineering;Agriculture;Animal Science;Horticulture
Academy of Art University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Adams State University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
AdventHealth University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Agnes Scott College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Aims Community College,Business Administration;Nursing;Criminal Justice;Elementary Education;Psychology;Computer Science
Alabama A & M University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Alabama State University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Alaska Career College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Alaska Pacific University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Alaska Vocational Technical Center,Information Technology;Computer Science;Network Engineering;Electrical Engineering;Mechanical Engineering
Albany State University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Albany Technical College,Information Technology;Computer Science;Network Engineering;Electrical Engineering;Mechanical Engineering
Albertus Magnus College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Alice Lloyd College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Allan Hancock College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Allen College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Allen County Community College,Business Administration;Nursing;Criminal Justice;Elementary Education;Psychology;Computer Science
Alliant International University-San Diego,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
American Beauty College,Fashion Design;Business Administration
American Career College-Los Angeles,Business Administration;Elementary Education;Psychology;Biology;Computer Science
American Institute-West Hartford,
American National University-Pikeville,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
American River College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
American University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Amridge University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Anderson University,Business Administration;Biology;Psychology;Computer Science;Mechanical Engineering
Andrew College,Business Administration;Elementary Education;Psychology;Biology;Computer Science
Antelope Valley Community College District,Business Administration;Nursing;Criminal Justice;Elementary Education;Psychology;Computer Science
Arapahoe Community College,Business Administration;Nursing;Criminal Justice;Elementary Education;Psychology;Computer Science
